Name,Location,Province,Reviews,Rating(out of 5),URL
A-Hill Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d19862957-Reviews-A_Hill_Guest_House-Kigali_Kigali_Province.html
Haven Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d14860591-Reviews-Haven_Guest_House-Kigali_Kigali_Province.html
Prince Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15190404-Reviews-Prince_Guest_House-Kigali_Kigali_Province.html
Amazon Guest House No.2,Ruhengeri,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g317075-d19728825-Reviews-Amazon_Guest_House_No_2-Ruhengeri_Musanze_District_Northern_Province.html
Grand Legacy Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23500662-Reviews-Grand_Legacy_Hotel-Kigali_Kigali_Province.html
Dream House - Kigali,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12989766-Reviews-Dream_House_Kigali-Kigali_Kigali_Province.html
Peaceful & Awesome Home,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17552190-Reviews-Peaceful_Awesome_Home-Kigali_Kigali_Province.html
Cameo Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d8400844-Reviews-Cameo_Guest_House-Kigali_Kigali_Province.html
Chez Mado et Jimmy,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12920469-Reviews-Chez_Mado_et_Jimmy-Kigali_Kigali_Province.html
Le Printemps Hotel Limited,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d8400842-Reviews-Le_Printemps_Hotel_Limited-Kigali_Kigali_Province.html
Macadamia Team Building & Conference Centre,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d4872882-Reviews-Macadamia_Team_Building_Conference_Centre-Kigali_Kigali_Province.html
Kingdom Guest House,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d13341804-Reviews-Kingdom_Guest_House-Gisenyi_Western_Province.html
New Horizon Properties IV,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15517226-Reviews-New_Horizon_Properties_IV-Kigali_Kigali_Province.html
Yerbis Guest House,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d12528037-Reviews-Yerbis_Guest_House-Kigali_Kigali_Province.html
Giddy Gardens Homestay,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d20264694-Reviews-Giddy_Gardens_Homestay-Kigali_Kigali_Province.html
Sky House Inn,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d15191979-Reviews-Sky_House_Inn-Kigali_Kigali_Province.html
Ururabo Guest House,Muhanga,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g2720361-d7156356-Reviews-Ururabo_Guest_House-Muhanga_Southern_Province.html
Utali Best Corner,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17536948-Reviews-Utali_Best_Corner-Kigali_Kigali_Province.html
Connie’s House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13970177-Reviews-Connie_s_House-Kigali_Kigali_Province.html
4B Stars II,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17521463-Reviews-4B_Stars_II-Kigali_Kigali_Province.html
Happiness Star Motel,Butare,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g480231-d12139880-Reviews-Happiness_Star_Motel-Butare_Southern_Province.html
Inzozi B&B Guest House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d13338613-Reviews-Inzozi_B_B_Guest_House-Kigali_Kigali_Province.html
Serena Garden House,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17552546-Reviews-Serena_Garden_House-Kigali_Kigali_Province.html
Excelsior Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d21344754-Reviews-Excelsior_Motel-Kigali_Kigali_Province.html
